,dates,vcan,ab,jpn,jst,jps,cavado,crista,difluência,convergência,text_data,url_data
0,2009010100,1,0,0,0,0,0,0,0,0,"Na carta de altitude da 00z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o norte do Chile e sudoeste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste de SP, Triângulo Mineiro, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA e norte do TO. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, nordeste da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 35S, entre o continente (Argentina) e o oceano Atlântico. Por volta de 40W o JPN acopla-se com o Jato Polar Sul (JPS). No extremo sul da Argentina há outro ramo do JPS. 
 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010100.gif
1,2009010100,0,1,0,0,0,0,0,0,0,"Na carta de altitude da 00z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o norte do Chile e sudoeste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste de SP, Triângulo Mineiro, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA e norte do TO. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, nordeste da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 35S, entre o continente (Argentina) e o oceano Atlântico. Por volta de 40W o JPN acopla-se com o Jato Polar Sul (JPS). No extremo sul da Argentina há outro ramo do JPS. 
 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010100.gif
2,2009010100,0,0,1,0,0,0,0,0,0,"Na carta de altitude da 00z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o norte do Chile e sudoeste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste de SP, Triângulo Mineiro, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA e norte do TO. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, nordeste da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 35S, entre o continente (Argentina) e o oceano Atlântico. Por volta de 40W o JPN acopla-se com o Jato Polar Sul (JPS). No extremo sul da Argentina há outro ramo do JPS. 
 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010100.gif
3,2009010100,0,0,0,1,0,0,0,0,0,"Na carta de altitude da 00z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o norte do Chile e sudoeste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste de SP, Triângulo Mineiro, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA e norte do TO. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, nordeste da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 35S, entre o continente (Argentina) e o oceano Atlântico. Por volta de 40W o JPN acopla-se com o Jato Polar Sul (JPS). No extremo sul da Argentina há outro ramo do JPS. 
 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010100.gif
4,2009010100,0,0,0,0,1,0,0,0,0,"Na carta de altitude da 00z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o norte do Chile e sudoeste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste de SP, Triângulo Mineiro, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA e norte do TO. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, nordeste da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 35S, entre o continente (Argentina) e o oceano Atlântico. Por volta de 40W o JPN acopla-se com o Jato Polar Sul (JPS). No extremo sul da Argentina há outro ramo do JPS. 
 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010100.gif
5,2009010100,0,0,0,0,0,1,0,0,0,"Na carta de altitude da 00z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o norte do Chile e sudoeste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste de SP, Triângulo Mineiro, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA e norte do TO. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, nordeste da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 35S, entre o continente (Argentina) e o oceano Atlântico. Por volta de 40W o JPN acopla-se com o Jato Polar Sul (JPS). No extremo sul da Argentina há outro ramo do JPS. 
 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010100.gif
6,2009010112,1,0,0,0,0,0,0,0,0,"Na carta de altitude das 12z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o leste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste e norte de SP, Triângulo Mineiro e oeste de MG, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, centro-norte da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 37S, entre o continente (Argentina) e o oceano Atlântico. O Jato Polar Sul (JPS) atua entre 40 e 60S, com circulação anticiclônica no Pacífico e ciclônica no Atlântico.

 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010112.gif
7,2009010112,0,1,0,0,0,0,0,0,0,"Na carta de altitude das 12z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o leste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste e norte de SP, Triângulo Mineiro e oeste de MG, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, centro-norte da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 37S, entre o continente (Argentina) e o oceano Atlântico. O Jato Polar Sul (JPS) atua entre 40 e 60S, com circulação anticiclônica no Pacífico e ciclônica no Atlântico.

 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010112.gif
8,2009010112,0,0,1,0,0,0,0,0,0,"Na carta de altitude das 12z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o leste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste e norte de SP, Triângulo Mineiro e oeste de MG, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, centro-norte da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 37S, entre o continente (Argentina) e o oceano Atlântico. O Jato Polar Sul (JPS) atua entre 40 e 60S, com circulação anticiclônica no Pacífico e ciclônica no Atlântico.

 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010112.gif
9,2009010112,0,0,0,1,0,0,0,0,0,"Na carta de altitude das 12z de hoje (01/01/2009), observa-se o centro da Alta da Bolívia (AB), agora sobre o leste da Bolívia. A circulação anticiclônica deste sistema atua sobre o norte da Argentina, sobre o Peru, toda a Bolívia, parte do norte do Paraguai, sobre MS, oeste e norte de SP, Triângulo Mineiro e oeste de MG, sul de GO, sudoeste de MT, RO, AC e sul da AM. A nordeste da AB, observa-se um Vórtice Ciclônico de Altos Níveis (VCAN), agora com centro sobre o sudeste do PA. Este sistema causa toda uma área de difluência dos ventos em 250hPa entre o PA e o AM, o que auxilia na nebulosidade observada sobre esta área, ver imagem de satélite. A sul da AB há um ramo do Jato Subtropical (JST), que desloca-se entre o Chile, centro-norte da Argentina, RS e SC, a partir deste ponto ele passa a ter predomínio de circulação ciclônica sobre o Atlântico. A sul deste jato há um outro cavado onde predomina o Jato Polar Norte (JPN), localizado a sul de 37S, entre o continente (Argentina) e o oceano Atlântico. O Jato Polar Sul (JPS) atua entre 40 e 60S, com circulação anticiclônica no Pacífico e ciclônica no Atlântico.

 Visualizar imagem de 250 hPA",http://img0.cptec.inpe.br/~rgptimg/Produtos-Pagina/Carta-Sinotica/Analise/Altitude/altitude_2009010112.gif
